TweetText,SentBy,SenderLocation,SendDate
Pineapple on salad?,five20four,nowhere,12/8/20 23:06
Chicken salad with toasted sesame dressing is BOOOOMB ✨😍,SunlightSwift13,Mexico,12/8/20 23:06
@mikegolicjr worked at restaurant that put grapes in chicken salad. 🤢,BigBanc35,,12/8/20 23:06
"I was about to order a salad , then i remembered i am not a goat .. so i got a steak",Acimana1,,12/8/20 23:06
@mikegolicjr Kroger's sells Chicken Salad with grapes in their deli! It's really good!!,MKBennett1967,Indiana,12/8/20 23:05
I fucked that salad up 😂,Eskino2x,,12/8/20 23:05
@Blazespage Here’s hoping it’s not salad for your diet.,mairifaeinsch,,12/8/20 23:05
@lmariemoss Now I’m curious if you dip the grilled cheese in the gumbo? Are you a potato salad in gumbo person?,nyh1012,,12/8/20 23:05
@AJAY_PDX @shooter_salad @kthalps Google punching up.,jdisab,,12/8/20 23:05
@positionsjeon pas en trompant jk right in front of my salad .,taechiIds,steph~l'élite~C•she/her,12/8/20 23:05
@idiot_salad @EvanAKilgore Nope,kimav12,,12/8/20 23:05
"Voltaire and the vegetarian salad, an examination at @adamsmithworks. https://t.co/qe7YBZDgJw https://t.co/foaD32rKv0",Liberty_Fund,"Indianapolis, IN",12/8/20 23:05
RT @jeonboops: on today’s episode of vmin being vmin right in front of joon’s salad JSKSJSKS https://t.co/ot9VpFecmV,mochiii_minie,Fairy🧚‍♀️,12/8/20 23:04
@mikegolicjr it’s called tarragon chicken salad. Check it out.,JMUAlum03,"Richmond, VA",12/8/20 23:04
Some pasta salad would bang right now,_Filthy_Rich,Where the 💰 ,12/8/20 23:04
Hi #bltwt /#yaoitwt I reorganize this account to talk about bl manwha/hua/ga and wanna have some moots!If you like… https://t.co/n5iIdr8y95,agatook_,minor✦,12/8/20 23:04
"BBQ chicken 🍗, roasted potatoes 🥔 and some pasta salad to wrap up and very busy day. #longdayatwork #businessowner… https://t.co/zPQAnc4BZJ",Damon_NC,North Carolina,12/8/20 23:04
@RummaTumTums @fisherofmeh Like a salad,GallopingMetal,"Castle Rock, CO",12/8/20 23:04
I’m truly wondering why was it raisins in the potato salad!?😂 https://t.co/8PMgnnA5kS,bri_autiful,,12/8/20 23:04
@Parzival_SSB i ate salad today.,Furutori0707,Depths of Thought,12/8/20 23:04
RT @FenixAiur: Having a salad and an M&amp;M cookie. I can't help but think there must be a more efficient way to do this. https://t.co/4EsIkHs…,KeroroCanti,Alabama,12/8/20 23:04
@peaches07 My wife not disrespecting my mother and my mother not disrespecting my wife..... she right ab that potato salad tho 🌚,_Beeal,903 Etx,12/8/20 23:04
Taco salad tonite bc I gotta lay off the tortilla,Brace_yoself,,12/8/20 23:04
@SaIadIoI happy birthday salad,WingBoots,THEY or any pronouns!!! minor,12/8/20 23:04
@princesssmani The “raisins in potato salad“ was a dead give away,namastewithrona,Everywhere,12/8/20 23:04
"RT @Heemoriii: Happy BEST MAKNAE NI-KI DAY!!!🥺🧡💙🎉
#HAPPY_NI_KI_DAY 
#언제나_빛나는_니키야_생일축하해
#ENHYPEN #ENHYPENfanart https://t.co/M9NyLunH2K",than_a_salad,Chicago ,12/8/20 23:04
@official_cramos @orangesickdaddy @LalalindaMaria @RuPaul @OldNavy You sound like you’re really getting your salad tossed. 😳🥗🍅🥬🥒🍴,BrayH212,"Prestonsburg, KY",12/8/20 23:04
"@raszak76 I mean, that pops in my head pretty much every single time I so much as SEE a salad, much less eat one.… https://t.co/34ZJamuE6m",JohnFPfaff,"Brooklyn, NY",12/8/20 23:04
"@arkeresia This, Weebl and Bob, Salad Fingers and Devvo. 

My god we're old",dojimeme,United Kingdom,12/8/20 23:04
@MayaaQuetzaly i had a salad lmao,caitlinpalfy_,jersey,12/8/20 23:04
"@pendo_gbenu @Goodbye_Jesus Again, your response is word salad to fool the gullible. Nonsensical garbage.",MichaelSocialT,,12/8/20 23:03
"RT @mishyloan: @YaThinkN @PatsKarvelas spoke to a rep from the meat industry. She asked about Morrison's response to China, he served word…",suemazzy1,,12/8/20 23:03
RT @FenixAiur: Having a salad and an M&amp;M cookie. I can't help but think there must be a more efficient way to do this. https://t.co/4EsIkHs…,Addark,,12/8/20 23:03
@Amy_Siskind I thought it was hoping he could toss the Presidents salad.,FrankAr55210849,"Brooklyn, N.Y (Always )",12/8/20 23:03
Having a salad and an M&amp;M cookie. I can't help but think there must be a more efficient way to do this. https://t.co/4EsIkHsihw,FenixAiur,"San Diego, CA",12/8/20 23:03
I want some shrimp tacos but ima eat this salad,CourtniEvette,"Miami, FL",12/8/20 23:03
There was a scab in my crab salad earlier. I will keep you posted with more updates as they develop.,KWEST11386,,12/8/20 23:03
Dawg this grape salad from chicken salad chic BE BUSSIN 🥴🥴,TheRealJuiceeee,"Florida, USA",12/8/20 23:03
Today’s packed lunch 🍱 Ham Cutlets/Grilled Tuna/Boiled Egg/Potato Salad #今日のお弁当 #bento #packedlunch #leftovers… https://t.co/ofPMHb0oBj,8SHUKO8,"Tokyo, Japan",12/8/20 23:03
"RT @thatfrood: I had a dream where there was a food called “King’s Hand”, a hollow hand made of m&amp;m cookie, filled with Greek salad.
I coul…",jeremiah4947,"San Antonio, TX",12/8/20 23:03
"From today’s trip to the @sherman.phoenix:

The Shrimp Cobb Salad from @funkyfreshspringrolls,
and fresh eucalyptus… https://t.co/VumL0wyuBe",madaboutmke,,12/8/20 23:03
I love how the smallest amount of quinoa added to a salad automatically makes it a quinoa salad.,commoncam,,12/8/20 23:03
@shaysays10 I feel you and agree she was out of pocket and I don’t blame them hands coming across the table...but r… https://t.co/8TXvNQ0T9r,rannyran,"Florida, USA",12/8/20 23:03
"Starter: Spoiled Whole Cold Lobster, Potato Salad, Stole Slaw, Gasp Lettuce, Mayonnaise Main: Vanilla Ice Scream Eclair, With Plot Fudge",_BadTaste_,,12/8/20 23:02
@donthegodd Potato salad with the raisins joints in it,RocBoy_Mel,,12/8/20 23:02
Why is there raisins in that fucking potatoe salad 😭😭😭😭 https://t.co/mM8O23lWNH,t_guille1,Guadeloupe,12/8/20 23:02
@RyanJYates @therealjoshhedl @ericnowlin @Dan26061985 @barstoolsports @barstoolchicago @ostojic85 Now I’m thinking… https://t.co/I4Hj7EqeNb,financlpanther,,12/8/20 23:02
@Jer5eySpurs Sure does!,Salmon__Salad,"Auckland, New Zealand",12/8/20 23:02
The amount of ranch dressing that woman put on her salad would drown a gerbil.,street_brice,Republic of California  ,12/8/20 23:02
@disgustingxgirl pls share that salad recipe !! it looks guuuud !,frankhoeshn,London. they/them. BLM,12/8/20 23:02
RT @jeonboops: on today’s episode of vmin being vmin right in front of joon’s salad JSKSJSKS https://t.co/ot9VpFecmV,WinterRose01,,12/8/20 23:02
@ElCidPatterson @Emily_J_RD This is a lot of salad 🥗🤣,KostasEle_RD,"London, United Kingdom",12/8/20 23:02
Guess it’s time for my ‘I didn’t really eat lunch salad’,thecitywanderer,"Brooklyn, NY",12/8/20 23:02
Dang I was going make a salmon salad i don’t even feel like it no more,oohthatsKivia, not here nor there.,12/8/20 23:02
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,sarahsayswhat,FL,12/8/20 23:02
just want someone i love to hold me while i cry and buy me a nutritious salad but that will not be happening,lilbirdliv,atx,12/8/20 23:02
@BSlickComposer imagine you had a cat while having the christmas laser running,seizure_salad__,earth,12/8/20 23:01
"Dear friends and #foodtwitter: What's the secret to using the airfryer? 

My fam is tired of eating my ""experiments… https://t.co/unJtftArmC",nilamapatel,"VA native, my ❤️'s in MT, current OH transplant",12/8/20 23:01
More things need to work on Highlander rules. THERE CAN BE ONLY ONE at the salad bar,june_thoughts,"Nova Scotia, Canada",12/8/20 23:01
"Vegan Pasta for lunch?  We've got it for you! 😋

Try this SOUTHWESTERN PASTA SALAD. Super easy to make and super he… https://t.co/HREHGYmeQI",firstcoastfit1,,12/8/20 23:01
@amyklobuchar Yell for a comb and go eat a salad!,cindycj60,,12/8/20 23:01
Have you tried our Nana's Chicken Salad? It goes great with some fresh-squeezed lemonade! https://t.co/fFeKnw7bj3,Gowingfingers,,12/8/20 23:01
@dfnclessangeI crying into my salad,louswomen,United Kingdom,12/8/20 23:01
I only eat one mf thang from Wendy’s... ApplePecan Salad,G_MelleauxBvngz,Wakanda,12/8/20 23:01
This salad gonna be hittin,BillForRill_,607-941 ,12/8/20 23:01
@Telominas I always just have salad with it as its too heavy otherwise,TurdFurgesonn,Velen- No Mans Land,12/8/20 23:01
@gtfomelane @SYMworldd What’s salad cream ?,Texastargirl,"Atascocita, TX",12/8/20 23:01
RT @jeonboops: on today’s episode of vmin being vmin right in front of joon’s salad JSKSJSKS https://t.co/ot9VpFecmV,caminhaodojin,she/her • 23 y.o • pt-br • en,12/8/20 23:01
"Tuesday is Pasta Night! Choose from 11 different options, including salad and garlic twists, for $9.95 each. Tonigh… https://t.co/zyOEzcZJBg",pizza_center,"Middlesex, NJ",12/8/20 23:01
@detwiler_amy Don't worry - I placed the overly big order and it will feed me for DAYS and that's good because my h… https://t.co/5XjG3IWKTw,LostR2,"Washington, DC",12/8/20 23:01
"@SocialistBoomer I gotta go with Mayo Pete. He’s sly, sleazy &amp; well connected, and somehow gets people to stupidly… https://t.co/SxiNwMJuaR",YourBrainstem,"Los Angeles, CA",12/8/20 23:01
"@StevenOnTheMove @SonjaSwissLife Turkey, salad, deserts and drinks with gift exchange 😃🎅🎄#TTOT #BuenViaggio… https://t.co/vD9VleVM3R",buenviaggio,Guayaquil  Ecuador,12/8/20 23:00
@theyylovepee No but why are there raisins in the potato salad? 🥴,Kyeexx,"Detroit, MI",12/8/20 23:00
@MarshaBlackburn We already found you out.,thac0_salad,"Left. No, your *other* left.",12/8/20 23:00
@peeled_pokemon Why does he remind me of Salad fingers? https://t.co/WyHhq5y7XZ,Zen_DBZS,Bowser’s Big Bean Burrito,12/8/20 23:00
Like another steak and salad,NastyStackzz,IN BETWEEN HER LEGS 24/7,12/8/20 23:00
@scythed_ What was it? a salad?,gnchloe,,12/8/20 23:00
@TMainesDOTcom the chicken salad croissant sandwich and their club sandwiches!! 😍😍😍,ohhhterrilynn,The Pynk 💕,12/8/20 23:00
@sinneryoongs in front of my salad??,childishnumeral,minor | she/her,12/8/20 23:00
@penzohno Idk I mean I’ve had some really good salads before 🤷🏻‍♀️ question is what type of salad was it,sienna_may28,,12/8/20 23:00
you toss a salad / torch a saab like a pile of leaves,deludedemily,,12/8/20 23:00
@Garyon18 That’s why it’s always a gamble having a salad for lunch,LordofSnacks,Roshar,12/8/20 23:00
@Farda_Alphonso Right in front of my fuckin fruit salad?,_phelma,"London, England",12/8/20 23:00
Warm Snow Pea &amp;amp; Chicken Salad  #cook #recipe #weightloss -- Please Retweet -- https://t.co/qnbdbPZRxP https://t.co/pHzSybPWVz,LetsCookRecipes,پاکستان,12/8/20 23:00
A little bit of everything ~ Our Salad with Hanger Steak is the perfect blend of sweet &amp; savory 🍓😋🥩… https://t.co/FqRFXdk8sk,poppisbrickoven,"Wildwood, NJ",12/8/20 22:59
@peeled_pokemon This kinda reminds me of Salad Fingers,RadioaktivPost,Twitter,12/8/20 22:59
"I finished Costco size containers of spring mix &amp; mini romaine hearts in 1 week &amp; turns out, I am loving a daily le… https://t.co/Z0JC9CBea8",emma_kcr,,12/8/20 22:59
Pork pie and salad cream https://t.co/p4B4Vbux2t,athersleyredsSB,,12/8/20 22:59
@EvanAKilgore Flat,idiot_salad,Communist Occupied USA,12/8/20 22:59
RT @jeonboops: on today’s episode of vmin being vmin right in front of joon’s salad JSKSJSKS https://t.co/ot9VpFecmV,kooktopiax,she/her ♡  私たちは永遠に防弾だ,12/8/20 22:59
@MikeJoPro First Ladies are often remembered for their signature dishes prepared for foreign dignitaries at White H… https://t.co/RsbsiPpD7y,freakfondue,"San Francisco, CA",12/8/20 22:59
@peeled_pokemon Reminds me of salad fingers,MulkSock,"Warren, RI",12/8/20 22:59
"Having what I like to call a picnic dinner. Fried chicken potato salad and barbecued beans

#itswhtasfordinner… https://t.co/VPyil4hyxo",WeirDave,Tampabay,12/8/20 22:59
@YorksCreamery @ValeMowbrayPies I love my pork pies with some homemade relish and a little rocket salad yum!,highlandgirl,"Scotland, United Kingdom",12/8/20 22:59
"@iron_will_pt All sorts, salad diet seems to be the best with me and light snacking, thoe i have a low energy outpu… https://t.co/r7A3JXgOFu",BcEvolution,,12/8/20 22:59
Olives are so disgusting to me.. i hate that Olive Garden even puts them in their salad,LuckyleftHER,Coolin.,12/8/20 22:59
"@TurdFurgesonn I'm not into pizza. But if anything - the pizza salad. I can't stomach abything else, pizza is alrea… https://t.co/4eYhmonbCp",Telominas,,12/8/20 22:58
"Salad, pasta, chicken, pickles, spinach dip, nachos ...... smh",NoOtherAshley23,,12/8/20 22:58
"Mine’s all salad stuff, honestly https://t.co/f9bPbqHhEg",lfnand,"Brighton, England",12/8/20 22:58
I want a salad from chick fil A 😭,amazingrocio2,,12/8/20 22:58
"RT @CatDaddyKevin: Bro, FUCK!! We’re out of the champions league! Pinche equipo mierda 😭😭",Cesarr_Salad,"Grand Rapids, MI",12/8/20 22:58
RT @shiraisinspired: ADHD? You mean ‘forgot I had to pee’ disorder? You mean ‘where is the other sock’ disorder? You mean ‘can’t decide bet…,M00nlitMushroom,Sending you good vibes,12/8/20 22:58
@OKOTOnaSE @Makedni @Darnakas3 @PituGuliMkd @Greekwarrior7 @KSpartiatis @TreloKomio5 @United4MK @onemetallica88… https://t.co/5HDAQyUDoO,Electra306,"England, United Kingdom",12/8/20 22:58
if this $10 salad wont fill my void what the fuck will asking because im sad,IMeanSureOkDude,ur mom,12/8/20 22:58
LRT Salad Fingers lost his fingers...,monoyesbe,pfp @yoiroro2,12/8/20 22:58
"It's ""Family Tuesday"" for only $19.99 you will receive a King single topping pizza, two Shoppe House Salads and cho… https://t.co/XxzH1c54Ac",PizzaShoppe,,12/8/20 22:58
@VinnieTortorich  got me thinking about produts from @CentralGrocery1  so I wanted a mufalletta in the worst way co… https://t.co/DE53IN6V1w,GodGritsNGravy,USA,12/8/20 22:57
I should make a salad but im too tired to make a salad,sammysitstill,he/him/his ,12/8/20 22:57
RT @SheffArchives: A hamper of #ChristmasFood is a seasonal staple. In 1961 you’d have been spoilt for choice shopping in J.G. Graves’ #Chr…,ARAScot,Scotland,12/8/20 22:57
"RT @notwhouthinkare: ooohhh Hyunsoo-ex manager-nim will finally open his restaurant (12/14) 🥗😃

Namjoo : what kind of store is it?
Hyunsoo…",ohxhayoung,#ínwσndєrlαnd #9E6LEG #9AN6STA,12/8/20 22:57
@greekkeynyc @NoahShachtman I don't know what to make of this word salad.,scottiegibbs,"North Shore, MA",12/8/20 22:57
"@yunniekim @caferio I honestly don't eat there often and lately I'm like ""hmm, what will be the surprise ingredient… https://t.co/uiAn9yytj3",YFanGirlJ,"Layton, UT",12/8/20 22:57
"@XXWoman88 @NewWorldHominin This dude makes a lot of money with that word salad, because people are gullible and desperate to appear woke",LNation10,,12/8/20 22:57
@TubaDsouza @thatfrood The Greek salad piece really speaks to me and my lack of tastebuds,Anita_Chauhan,YYZ,12/8/20 22:57
@crutchingreader what the shit was that word salad of (at best) meaningless drivel and (in truth) offensive shit.,andermer,"Oregon, USA",12/8/20 22:57
@Garyon18 We're just glad you weren't having hot cocoa with your salad,FoxesSnakes,Tower of Ghenjei,12/8/20 22:57
A scrumptious salad recipe that is perfect for your lunch meal! #keto #weightloss https://t.co/CVEgn2OHjC,Gina_Jo_fitness,,12/8/20 22:57
@ShopeePH Shopee Season + Fruit Salad,elalala25,,12/8/20 22:57
*other guy starts punching his salad* WHAT IS WRONG WITH YOU? STOP IT! CUT IT OUT MAN! I DON'T WANT TH,asdfmoviebot,asdf land,12/8/20 22:57
"Should I put grilled chicken and shrimp in my salad, or just shrimp?",nchanelll,,12/8/20 22:56
Need me a half moon bay salad.,GahDamnAnimal,"California, USA",12/8/20 22:56
"RT @thatfrood: I had a dream where there was a food called “King’s Hand”, a hollow hand made of m&amp;m cookie, filled with Greek salad.
I coul…",lil_pesto,any pronouns,12/8/20 22:56
Salad for dinner I don’t feel like cooking anything,LoverBoy_iKon,Saturns Rings ,12/8/20 22:56
RT @shaquira0210: Croutons are definitely the best part of a salad,LovableShania_,W/ God 💛,12/8/20 22:56
not me eating a salad for lunch,_sooooll,atx,12/8/20 22:56
"RT @TashaHeadrick: Well, I cut up a salad to eat throughout the day. Salad-palooza day. Happy lunch everybody! Don't forget to eat. 😋💕😷
Sta…",mec_mechant,En route vers quelque part.,12/8/20 22:56
@Cool_Breeze_Dre Salmon and salad,UnDeeNiablyMe,"Richardson, TX",12/8/20 22:56
I am about to enjoy this salad 🥗,JadedGent,Los Angeles,12/8/20 22:56
I want a salad from applebee’s 😭,itsstaay9, Ja’Niyah’s Mommy🧸💕...,12/8/20 22:56
@jjjayb @mamagrumpypants @rising_serpent They don't know because they're too busy tossing his salad.,FatherofAbigail,GA,12/8/20 22:56
@SarahGilliland @Clarissa_Laskey Their chicken salad is delicious!,LolaLambchops,Northern Virginia,12/8/20 22:56
@Tombstone1954 It pains me to listen to his scrambled word salad.  Does anyone get that he's disabled?,mrsunshine44,"Texas, USA",12/8/20 22:55
@inspector_salad @JeffisTallguy Coost to coost,flindis,"New York, NY",12/8/20 22:55
"You on that health kick? We got you! New nopales salad on the menu! Butter lettuce, arugula, nopales 🌵, sliced chil… https://t.co/1HiUxzaMb0",CieloRojoMex,"Takoma Park, MD",12/8/20 22:55
"RT @notwhouthinkare: ooohhh Hyunsoo-ex manager-nim will finally open his restaurant (12/14) 🥗😃

Namjoo : what kind of store is it?
Hyunsoo…",Apinkohyv,s/her,12/8/20 22:55
RT @kentuckybarbie_: my main toxic trait is i have a horrible sense of humor so my most quoted lines of movies and shows make no sense and…,emcrebbable,"New York, NY",12/8/20 22:55
@h0td0gfingers Eating bookmaker salad in hell with Caligula Lotus! Marinara!,italiandry,,12/8/20 22:55
“That nut is so good” jam talking about salad,ayedel_,San Diego,12/8/20 22:55
goopseason dungeon hi salad melanie baker with a side of only xd larpfacey clarence jeff circular fun arsefacey https://t.co/VKwQTpXA9G,FatPenguinVEVO,,12/8/20 22:54
@ShopeePH Shopee Season Salad https://t.co/poY4aoVvkh,JeanMeryes,,12/8/20 22:54
Idk why it took me so long to start making my own salad dressings wtf,sleepynaga,NJ.,12/8/20 22:54
@jbeever3 @deeefurn That's a thick and lush salad thanks very much!,MattWalshMedia,"Melbourne, Australia",12/8/20 22:54
Oui bah fais hello in front of my salad I need https://t.co/bEgBi0u8fV,BTahegyu,She/her,12/8/20 22:54
"I want a good ole salad w some grilled chicken, cucumbers, eggs and allat but idk where to get one at here 🥴",TyBridges24_,Lanett📍Houston,12/8/20 22:54
@Upsetting_Salad W can see him,EliteSutton,,12/8/20 22:54
I'm going to shove that salad in your stupid gaping mouth! https://t.co/NLiOcxBfPq,bitbitchybiter,18+ acct/minors dni,12/8/20 22:54
This salad is so good right now 😩🙌🏼,x0gabriella_,"Oz, Emerald City",12/8/20 22:54
Panera literally takes the worst part of a head of lettuce &amp; calls it a salad.,uhhlicia_,ATL,12/8/20 22:53
why would she put raisins in a potato salad though https://t.co/2zd29MIT6J,gircsgo,"Rutherford, NJ",12/8/20 22:53
I want a taco salad 😋,Slick412_,,12/8/20 22:53
"@MCRofficial Hey, guys? If you could just say what you mean just one time? It's finals week I can't spare the brainpower.",frenchi_salad,,12/8/20 22:53
@Prismatic85 Another SJW Leftists trick by trying to play word salad. lame AF,SpiralStaircas6,,12/8/20 22:53
"Like German Chocolate and Caesars' Salad, Chicken Fingers gets its name from a different place than you think. They… https://t.co/1yODFOPZIS",deankoshelanyk,,12/8/20 22:53
@amyklobuchar This is a lie and you are complicit in the largest election fraud in history. Have you berated and st… https://t.co/EVrqprOK6J,PatriotLarryTx,"Texas, USA",12/8/20 22:53
Chicken Salad Chick Continues Rapid Expansion in #Louisiana With New Restaurant Opening in #BossierCity… https://t.co/Q3HFZoXerm,RestaurantNews1,,12/8/20 22:53
I would’ve been disrespected too if she put raisins in the potato salad https://t.co/2luDVUjYn2,kirrsttt,,12/8/20 22:53
@dogboylover BBQ SAUCE IS LIKE THE MOST FINE BUT IN EXCESS IT'S GROSS... KETCHUP IS THE REAL OFFENDER. KETCHUP SHOU… https://t.co/DZEM9fFNx0,ylissebian,klavsbianism,12/8/20 22:52
"RT @mishyloan: @YaThinkN @PatsKarvelas spoke to a rep from the meat industry. She asked about Morrison's response to China, he served word…",WhteRbbnAdvocat,"Gawler, South Australia",12/8/20 22:52
How is a salad bar in the middle of a supermarket gonna tell me they ran out of feta. Like ???? Can’t u just get so… https://t.co/PWFiRFQlgv,JLFHx,"Manhattan, NY",12/8/20 22:52
@SBMTGDev I can eat like...3 big macs probably make it halfway through a good sized salad/wrap,blurryleg,SCREWSTON TEXAS,12/8/20 22:52
@EliteSutton I also love your dog,Upsetting_Salad,Hell,12/8/20 22:52
"tempura cauli on a bed of turmeric coconut rice with a side salad featuring crispy garlic onions, almonds &amp; ginger… https://t.co/mztVfj2qqD",MandaMillions,🔮💜 $MandaMillions88,12/8/20 22:52
I told my friend I had to eat a salad to balance out eating an entire bag of hot fries &amp; he said “I would’ve added… https://t.co/ZzSekxmuvB,kvrlas,"Fort Wayne, IN",12/8/20 22:52
Wow I just around here and they don’t have potato salad 😫that’s not right man,Shadaexxx_,,12/8/20 22:52
i havent talked to lord salad yet bt u i heard hes mad/...........,LesbianErisMorn,,12/8/20 22:52
@kenzwinz_ Spaghetti and garlic bread lil salad on the side,DashV_,"Dallas, TX",12/8/20 22:52
@HylianJayYT @KatoftheKrew @bitch__salad What would the house name be? Chaos central? The Krew House?,quigley_drew,,12/8/20 22:52
"Tum is stuffed with a salad, now loudly glorping and churning.
Which one of your tasty friends is a good salad topp… https://t.co/Ys9TKzm9km",TheBigBadFolf,North Dakota,12/8/20 22:52
"@cheesivore well that's the idea, i've got the entire list for the next 4 weeks of shelf stable and 2 weeks of peri… https://t.co/nFOKIGAD7d",spindlypete,"Portland, OR",12/8/20 22:52
@FacundoXXII One lamb doner pls chilli sauce salad everything,KH4LDR0G0SWCW,,12/8/20 22:52
"I deserve petite filet mignon (Medium) with Béarnaise, grilled shrimp, loaded mashed potatoes, Caesar salad and a r… https://t.co/zle14y5t7e",TheTravelSLP,"Drifting in the Wind, USA",12/8/20 22:51
"How is my favorite restaurant gonna forget Red Onions on a salad, I mean anyone else go for the extra onions???",Djvrazel,,12/8/20 22:51
"Me: eats salad for lunch
Also me: makes not chocolate at 3pm 

(Yes, I know this is a pattern)",Garyon18,Fantasia,12/8/20 22:51
"@SBMTGDev sure, but take off any dressings (or heck even halve the serving size of the dressing), remove stuff like… https://t.co/pbfXkv3Kj1",blurryleg,SCREWSTON TEXAS,12/8/20 22:51
@nuski_1400 Niggas gotta try that salad at the house ah prime rib 🔥🤦🏽‍♂️,BigB4L1,"San Francisco, CA",12/8/20 22:51
@teaventi_ Try farm house in domino's and filet o fish instead of tatar sause ask for veg mayo. Or on maharaja mac… https://t.co/WDFY57nPUt,indolentpanda,,12/8/20 22:51
@honkjasper mate thats a short boi,seizure_salad__,earth,12/8/20 22:51
"Having what I like to call a picnic dinner. Fried chicken potato salad and barbecued beans

#itswhtasfordinner… https://t.co/jPddgLh7JP",WeirDave,Tampabay,12/8/20 22:51
I suppose to b cooking taco salad today but ion eve Gm like cooking ain’t lying 🥴😫,itsme_BigKeria,,12/8/20 22:51
"@YorksCreamery @ValeMowbrayPies I eat pork pies with pickles, cheese and salad @27Tawnyowl",barry6581,"Cleveleys, Lancashire",12/8/20 22:51
"Salad: I like NSFW RPs but I hate when they’re public
Also Salad: https://t.co/b1hZdJvk2N",NoahTDParody,In your bed,12/8/20 22:51
@HylianJayYT @KatoftheKrew @bitch__salad Chaos everywhere.,quigley_drew,,12/8/20 22:51
"@crappy_videos @MarthoMark @SBSNews Yeah literally the opposite is going on champ. But I get it, you learnt the phr… https://t.co/LySTovFvuy",DFish1234,,12/8/20 22:51
@muhmentals @PeanutGallery33 She’s such a coward LOL she always jumps into threads where people can protect her but… https://t.co/P6j4p3BQiy,CRTvonYT,,12/8/20 22:50
@MajesticalMicha @wakkowolf22 The 1 thing olive garden has done right is unlimited soup&amp;salad,TarynGintner,,12/8/20 22:50
cooked dinner for bens friends who im pretty sure hate me lol anyway made conchiglioni w sundried tom sauce and a k… https://t.co/L0eQRYjDdW,kikieating,berlin,12/8/20 22:50
@larkinloverules Quiche. And Pasta Salad,QuickdrawMcNya,,12/8/20 22:50
"RT @mishyloan: @YaThinkN @PatsKarvelas spoke to a rep from the meat industry. She asked about Morrison's response to China, he served word…",MamaTealRose,"Louis' eyelashes, Australia.",12/8/20 22:50
@teamTandB2017 @Marcelosps65 @KMCRadio @MMayleben Ironic satire. It's funny.  #Meatballs make a great salad,ClownaldTrump,"Trumpsville, NY",12/8/20 22:50
"RT @MayorBrookDavis: @4EverTrilla I would just put her out of my home but honestly, he would’ve had to check his mama for disrespecting me…",Mama_Cati,👩‍👧🐶🐱,12/8/20 22:50
"Nobody:....
Me: let me gone add this turkey meat to this side salad!!",McgeeLashae,,12/8/20 22:50
Not a salad but i stay dressed https://t.co/DpUYdtg3YC,chrisverkerk_,,12/8/20 22:50
I’ve been thinking about a chic fil a salad all day now...,prettyhoodrich_,pgh,12/8/20 22:50
"RT @WRECK_LESS1: @4EverTrilla Wouldn’t be in that situation, my wife will know raisins don’t go in potato salad",Mama_Cati,👩‍👧🐶🐱,12/8/20 22:50
@BenKaplanPhoto There used to be a really cute one in Mount Vernon too! When I was young we used to go there with m… https://t.co/FLvdbovqqa,JBertling,"Eastern Iowa, US",12/8/20 22:50
@quigley_drew @KatoftheKrew @bitch__salad The five of us...oh dear god,HylianJayYT,Hyrule,12/8/20 22:50
RT @RockerOrganic: Templemore’s local award-winning salad is now available in O’Connell’s Centra Templemore. It’s the only retail store in…,templemoretown,"North Tipperary, Ireland",12/8/20 22:50
@War_HammerTime I'm sure it's not something for her salad either!  😂,cindycj60,,12/8/20 22:50
RT @Afleod: Metal Noodle Wing Scrambled Egg and Sausage salad https://t.co/RKojnVzys7,MichaelBaiden20,,12/8/20 22:49
@Lovee_KmJ Salad or corn lol,oxo_keyaira,east macon ,12/8/20 22:49
"RT @softieyul: Remember when Chaewon and Yena Flirting infront of yuri’s salad

Then yuri be like: NO you can’t cuddle with me anymore http…",iloveyouhoe_25,,12/8/20 22:49
I like potato salad wit a lot of apple slices 😏,Futurejesiah,,12/8/20 22:49
"""Navy puts raisins in potato salad"". #GoArmyBeatNavy",rugbyturtle,On the Pitch!!,12/8/20 22:49
"RT @thatfrood: I had a dream where there was a food called “King’s Hand”, a hollow hand made of m&amp;m cookie, filled with Greek salad.
I coul…",NourRebel,"ⵣ, le méditerranéen ",12/8/20 22:49
"@TRidesmith @thetakeout I once took in a tray of food from the neighbouring food hall, quiche, salad, cold drink -… https://t.co/K1MVL5pHsg",paultudor,Aotearoa,12/8/20 22:49
@pendo_gbenu @Goodbye_Jesus This is word salad to fool the credulous. None of what you're saying is sensical.,MichaelSocialT,,12/8/20 22:49
From the lady who eats salad with her comb😂😂😂😂😂🤢 https://t.co/giDzJdc2Zb,anotherdjtfan,USA🇺🇸Trump country,12/8/20 22:49
"RT @AndyLunique: Broiled salmon, Saffron risotto, orange fennel salad, English pea purée, grilled lemon. 

This would go better with Chilea…",zobocatIRL,"California, USA",12/8/20 22:48
RT @sammorril: Every night I don't drink during the pandemic feels like ordering a salad at a steak house,RJSheine,,12/8/20 22:48
@Mr_Chibba You inspired me to eat my chocolate and now I'm too full for the salad I made. I have no regrets.,erin_lion,,12/8/20 22:48
